Index     FlowId          Size              Sent              Recv              FCT               PfcDur            
283        263             203.803           203.803           203.803           53.645            0                 
284        287             217.766           217.766           217.766           31.661            0                 
285        368             241.787           241.787           241.787           31.427            0                 
286        133             273.435           273.435           273.435           36.515            0                 
287        258             277.888           277.888           277.888           38.691            0                 
288        44              313.813           313.813           313.813           153.407           0                 
289        463             366.81            366.81            366.81            787.834           0                 
290        390             371.774           371.774           371.774           923.166           0                 
291        173             373.551           373.551           373.551           1507.35           0                 
292        188             408.806           408.806           408.806           929.908           0                 
293        205             425.527           425.527           425.527           998.461           0                 
294        18              464.577           464.577           464.577           847.05            0                 
295        116             468.177           468.177           468.177           451.291           0                 
296        155             520.9             520.9             520.9             786.865           0                 
297        338             547.199           547.199           547.199           474.666           0                 
298        298             568.9             568.9             568.9             983.618           0                 
299        394             579.43            579.43            579.43            681.166           0                 
300        105             580.381           580.381           580.381           1044.83           0                 
301        17              597.655           597.655           597.655           635.058           0                 
302        66              598.292           598.292           598.292           478.052           0                 
303        94              600.524           600.524           600.524           1927.48           0                 
304        207             606.052           606.052           606.052           596.104           0                 
305        410             639.195           639.195           639.195           430.578           0                 
306        137             648.787           648.787           648.787           476.527           0                 
307        303             669.275           669.275           669.275           513.613           0                 
308        284             704.73            704.73            704.73            516.768           0                 
309        289             766.127           766.127           766.127           830.177           0                 
310        226             782.258           782.258           782.258           598.57            0                 
311        344             799.355           799.355           799.355           595.878           0                 
312        383             799.839           799.839           799.839           869.918           0                 
313        371             853.001           853.001           853.001           714.251           0                 
314        391             861.935           861.935           861.935           734.687           0                 
315        218             874.476           874.476           874.476           1736.17           0                 
316        281             881.386           881.386           881.386           928.418           0                 
317        158             898.35            898.35            898.35            643.705           0                 
318        156             900.364           900.364           900.364           601.035           0                 
319        397             918.143           918.143           918.143           1221.85           0                 
320        424             944.054           944.054           944.054           960.3             0                 
321        430             944.139           944.139           944.139           1060.09           0                 
322        335             964.277           964.277           964.277           812.855           0                 
323        92              984.77            984.77            984.77            530.258           0                 
324        36              1009.1            1009.1            1009.1            870.005           0                 
325        453             1031.41           1031.41           1031.41           1281.17           0                 
326        113             1035.71           1035.71           1035.71           858.206           0                 
327        198             1063.78           1063.78           1063.78           1463.67           0                 
328        388             1065.75           1065.75           1065.75           1763.27           0                 
329        440             1136.4            1136.4            1136.4            760.172           0                 
330        365             1165.48           1165.48           1165.48           2155.64           0                 
331        38              1175.97           1175.97           1175.97           2374.56           0                 
332        89              1218.22           1218.22           1218.22           1476.42           0                 
333        206             1238.38           1238.38           1238.38           731.094           0                 
334        249             1265.57           1265.57           1265.57           1393.86           0                 
335        345             1298.1            1298.1            1298.1            1661.43           0                 
336        403             1363.82           1363.82           1363.82           1657.26           0                 
337        372             1420.97           1420.97           1420.97           1617.76           0                 
